model,class_id,class_name,support_pixels,tp,fp,fn,tn,precision,recall_sensitivity,specificity,f1,dice,iou,loss,roc_auc,average_precision,pr_auc,hd95,asd,architecture,variation,contrastive_label,contrastive_weight,handle,checkpoint_path,baseline_model,dice_baseline,iou_baseline,f1_baseline,roc_auc_baseline,average_precision_baseline,pr_auc_baseline,hd95_baseline,asd_baseline,delta_dice,delta_iou,delta_f1,delta_roc_auc,delta_average_precision,delta_pr_auc,delta_hd95,delta_asd
ResNet-UNet cw003,5,Liver,1868558,1794393,129942,74165,76677468,0.9324743352898534,0.9603089655231467,0.9983082101062906,0.9461869870834744,0.9461869870834743,0.8978699024268201,0.357687848106939,0.9991858183128348,0.9841133188880365,0.9841119391543078,7.704742461772816,1.9309223959943822,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt,ResNet-UNet cw0,0.9446240511807893,0.8950592935509527,0.9446240511807893,0.9988998555179426,0.9840030740597294,0.9840022176632448,9.891728522865423,2.2127021967690976,0.0015629359026849698,0.002810608875867371,0.0015629359026850809,0.0002859627948922361,0.00011024482830712667,0.00010972149106303064,-2.1869860610926066,-0.2817798007747154
ResNet-UNet cw003,6,Stomach,96519,41238,17882,55281,78561567,0.6975304465493911,0.427252665278339,0.9997724341386003,0.529918593668682,0.529918593668682,0.3604688770203058,0.357687848106939,0.9482787306836923,0.5920623749332463,0.5916736231283947,15.752580417891792,5.7292785388180825,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt,ResNet-UNet cw0,0.595909304215454,0.42440941030699253,0.5959093042154541,0.9605095501640396,0.6261004994174201,0.6256835861277921,15.149354778976521,5.158874017567827,-0.06599071054677197,-0.06394053328668675,-0.06599071054677208,-0.012230819480347321,-0.03403812448417376,-0.0340099629993974,0.603225638915271,0.5704045212502553
ResNet-UNet cw003,7,Aorta,265363,252888,91986,12475,78318619,0.7332765009829677,0.9529889246051635,0.9988268678707427,0.8288189670570615,0.8288189670570615,0.7076779282997854,0.357687848106939,0.9975749221968049,0.922510305767735,0.9224238421017351,6.877882704104673,2.2278172681166555,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt,ResNet-UNet cw0,0.8975281624979805,0.814105296813386,0.8975281624979805,0.9996169373694874,0.9552694898165789,0.9552454517863201,5.566775246949445,1.7695456491286097,-0.06870919544091902,-0.10642736851360057,-0.06870919544091902,-0.002042015172682543,-0.032759184048843926,-0.03282160968458503,1.3111074571552281,0.4582716189880458
ResNet-UNet cw003,8,Pancreas,505571,326022,95839,179549,78074558,0.7728185350150879,0.6448589812311228,0.998773973221602,0.7030639443107419,0.7030639443107419,0.5420960742255699,0.357687848106939,0.9761899651155851,0.7807414254897808,0.780702348058894,19.82988510573636,7.382940160509548,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt,ResNet-UNet cw0,0.7689402289728554,0.624616486599415,0.7689402289728554,0.9728253920972214,0.8436424844766467,0.8436095217783078,14.878423951657856,5.462440361130702,-0.06587628466211348,-0.08252041237384511,-0.06587628466211348,0.0033645730183636813,-0.06290105898686593,-0.06290717371941379,4.951461154078503,1.9204997993788462
ResNet-UNet cw005,1,Spleen,84568,71684,8510,12884,78582890,0.8938823353368083,0.8476492290227983,0.9998917184322966,0.870152098177978,0.8701520981779779,0.7701497668622016,0.3581858378055753,0.9959163792582826,0.936802244386821,0.9367295815548676,1.9763621447227526,0.7191270839871571,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt,ResNet-UNet cw0,0.8616951698076644,0.756998606130896,0.8616951698076644,0.9977602963986275,0.9170808078278699,0.9170030332050964,3.1814765598684107,1.0782280189951057,0.008456928370313532,0.013151160731305622,0.008456928370313643,-0.0018439171403449306,0.01972143655895109,0.019726548349771278,-1.205114415145658,-0.3591009350079486
ResNet-UNet cw005,2,Right kidney,22661,13765,8557,8896,78644750,0.6166562136009318,0.6074312695821014,0.9998912061002089,0.6120089811706645,0.6120089811706645,0.4409315138702031,0.3581858378055753,0.8667504211061188,0.5920538895443852,0.5905153083873212,4.870773935644066,1.9650092069139415,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt,ResNet-UNet cw0,0.6795662981057684,0.514653857388595,0.6795662981057684,0.9677478089557935,0.6769846414110787,0.6758034080219695,6.416613827496811,2.286219280434682,-0.06755731693510392,-0.07372234351839196,-0.06755731693510392,-0.10099738784967471,-0.08493075186669352,-0.08528809963464823,-1.5458398918527454,-0.3212100735207406
ResNet-UNet cw005,3,Left kidney,169740,158990,15378,10750,78490850,0.911807212332538,0.936667844939319,0.9998041174516753,0.9240703500063933,0.9240703500063934,0.8588575935349345,0.3581858378055753,0.9978927806557479,0.9696037365025488,0.9696288756202264,2.432658200647147,0.7539127752049496,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt,ResNet-UNet cw0,0.927817108877145,0.8653533987149138,0.927817108877145,0.9997890105962255,0.9751917900937269,0.9751727815403444,2.7939628872666935,0.7997631604290852,-0.0037467588707515986,-0.006495805179979275,-0.0037467588707517097,-0.0018962299404775562,-0.005588053591178088,-0.005543905920117997,-0.3613046866195466,-0.04585038522413565
ResNet-UNet cw005,4,Gallbladder,168278,149287,16186,18991,78491504,0.9021834377813903,0.8871450813534746,0.9997938291140651,0.8946010648657232,0.8946010648657232,0.8093015439326915,0.3581858378055753,0.9944341695417612,0.9431609484280851,0.9431300417411992,4.097820338431655,1.1496036682248365,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt,ResNet-UNet cw0,0.8908686801933934,0.8032129868523858,0.8908686801933933,0.9917679470204215,0.9425382410767403,0.9425098152975783,3.35106472260462,1.0900747959536428,0.003732384672329836,0.0060885570803056455,0.003732384672329947,0.002666222521339745,0.0006227073513447312,0.0006202264436209193,0.7467556158270345,0.059528872271193745
ResNet-UNet cw005,5,Liver,1868558,1809659,138979,58899,76668431,0.9286789029055166,0.9684789019125979,0.998190552187608,0.9481614252975221,0.948161425297522,0.9014324518053715,0.3581858378055753,0.999359984091804,0.9846137738628381,0.9846162976239672,7.552544162694427,1.9638116702958746,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt,ResNet-UNet cw0,0.9446240511807893,0.8950592935509527,0.9446240511807893,0.9988998555179426,0.9840030740597294,0.9840022176632448,9.891728522865423,2.2127021967690976,0.0035373741167327166,0.006373158254418754,0.0035373741167328276,0.00046012857386146244,0.000610699803108683,0.0006140799607223801,-2.3391843601709956,-0.24889052647322307
ResNet-UNet cw005,6,Stomach,96519,51117,31941,45402,78547508,0.615437405186737,0.5296055698877941,0.9995935196745908,0.569304532317613,0.569304532317613,0.3979215319943951,0.3581858378055753,0.9760987650989595,0.6210284332469469,0.6206030277776869,16.145750347494822,5.309071533584553,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt,ResNet-UNet cw0,0.595909304215454,0.42440941030699253,0.5959093042154541,0.9605095501640396,0.6261004994174201,0.6256835861277921,15.149354778976521,5.158874017567827,-0.02660477189784094,-0.026487878312597413,-0.02660477189784105,0.015589214934919937,-0.005072066170473177,-0.005080558350105124,0.9963955685183006,0.1501975160167257
